iter	Passed	Remaining
659	1302	671
660	1304	668
661	1305	666
662	1307	664
663	1308	662
664	1310	660
665	1311	657
666	1313	655
667	1314	653
668	1316	651
669	1318	649
670	1319	647
671	1321	645
672	1323	642
673	1324	640
674	1326	638
675	1327	636
676	1329	634
677	1330	632
678	1332	630
679	1334	627
680	1335	625
681	1337	623
682	1338	621
683	1340	619
684	1341	616
685	1343	614
686	1344	612
687	1345	610
688	1347	608
689	1349	606
690	1350	604
691	1352	601
692	1353	599
693	1355	597
694	1356	595
695	1358	593
696	1359	591
697	1361	588
698	1362	586
699	1364	584
700	1365	582
701	1367	580
702	1368	578
703	1370	576
704	1371	574
705	1372	571
706	1374	569
707	1375	567
708	1378	565
709	1381	564
710	1383	562
711	1384	560
712	1386	558
713	1388	555
714	1389	553
715	1391	551
716	1392	549
717	1394	547
718	1395	545
719	1397	543
720	1399	541
721	1400	539
722	1402	537
723	1403	535
724	1405	532
725	1406	531
726	1408	528
727	1410	526
728	1411	524
729	1413	522
730	1415	520
731	1417	518
732	1419	517
733	1421	515
734	1422	512
735	1424	510
736	1425	508
737	1427	506
738	1428	504
739	1430	502
740	1431	500
741	1433	498
742	1435	496
743	1436	494
744	1438	492
745	1439	490
746	1441	488
747	1442	486
748	1444	484
749	1445	481
750	1447	479
751	1449	477
752	1450	475
753	1452	473
754	1453	471
755	1455	469
756	1457	467
757	1458	465
758	1460	463
759	1461	461
760	1463	459
761	1465	457
762	1466	455
763	1468	453
764	1469	451
765	1471	449
766	1472	447
767	1473	445
768	1475	443
769	1476	441
770	1478	439
771	1480	437
772	1481	435
773	1483	433
774	1484	431
775	1486	429
776	1487	427
777	1489	425
778	1490	422
779	1492	420
780	1494	418
781	1495	416
782	1497	414
783	1498	412
784	1500	410
785	1501	408
786	1503	406
787	1505	405
788	1507	403
789	1509	401
790	1511	399
791	1512	397
792	1514	395
793	1515	393
794	1517	391
795	1518	389
796	1520	387
797	1521	385
798	1523	383
799	1525	381
800	1526	379
801	1528	377
802	1529	375
803	1531	373
804	1533	371
805	1534	369
806	1536	367
807	1537	365
808	1539	363
809	1540	361
810	1542	359
811	1544	357
812	1545	355
813	1547	353
814	1548	351
815	1550	349
816	1551	347
817	1553	345
818	1554	343
819	1556	341
820	1557	339
821	1559	337
822	1560	335
823	1562	333
824	1563	331
825	1565	329
826	1566	327
827	1568	325
828	1570	323
829	1571	321
830	1573	319
831	1575	318
832	1576	316
833	1578	314
834	1580	312
835	1581	310
836	1583	308
837	1585	306
838	1586	304
839	1588	302
840	1589	300
841	1591	298
842	1593	296
843	1594	294
844	1596	292
845	1597	290
846	1599	288
847	1600	286
848	1602	285
849	1604	283
850	1605	281
851	1607	279
852	1608	277
853	1610	275
854	1611	273
855	1613	271
856	1614	269
857	1616	267
858	1618	265
859	1619	263
860	1620	261
861	1622	259
862	1623	257
863	1625	255
864	1627	253
865	1628	252
866	1630	250
867	1631	248
868	1633	246
869	1634	244
870	1636	242
871	1637	240
872	1639	238
873	1641	236
874	1642	234
875	1644	232
876	1645	230
877	1647	228
878	1648	226
879	1650	225
880	1651	223
881	1653	221
882	1654	219
883	1656	217
884	1658	215
885	1659	213
886	1661	211
887	1662	209
888	1664	207
889	1665	205
890	1667	203
891	1668	202
892	1670	200
893	1672	198
894	1673	196
895	1675	194
896	1676	192
897	1678	190
898	1679	188
899	1681	186
900	1682	184
901	1684	183
902	1686	181
903	1687	179
904	1689	177
905	1690	175
906	1692	173
907	1693	171
908	1695	169
909	1696	167
910	1698	165
911	1699	164
912	1701	162
913	1702	160
914	1704	158
915	1705	156
916	1707	154
917	1708	152
918	1710	150
919	1711	148
920	1713	146
921	1715	145
922	1716	143
923	1718	141
924	1719	139
925	1721	137
926	1722	135
927	1724	133
928	1725	131
929	1727	130
930	1729	128
931	1731	126
932	1733	124
933	1735	122
934	1737	120
935	1738	118
936	1740	116
937	1741	115
938	1743	113
939	1744	111
940	1746	109
941	1747	107
942	1749	105
943	1750	103
944	1752	101
945	1753	100
946	1755	98
947	1756	96
948	1758	94
949	1760	92
950	1761	90
951	1762	88
952	1764	87
953	1766	85
954	1767	83
955	1768	81
956	1770	79
957	1771	77
958	1773	75
959	1775	73
960	1776	72
961	1778	70
962	1779	68
963	1781	66
964	1782	64
965	1784	62
966	1786	60
967	1788	59
968	1789	57
969	1791	55
970	1792	53
971	1794	51
972	1795	49
973	1797	47
974	1798	46
975	1800	44
976	1802	42
977	1803	40
978	1805	38
979	1806	36
980	1808	35
981	1809	33
982	1811	31
983	1812	29
984	1814	27
985	1815	25
986	1817	23
987	1819	22
988	1820	20
989	1822	18
990	1823	16
991	1825	14
992	1826	12
993	1828	11
994	1829	9
995	1831	7
996	1832	5
997	1834	3
998	1835	1
999	1837	0
